val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14
149.90778520022755,189.97214651635144,219.94920111830675,250.12902241573835,298.8986201681396,348.91965450651423,399.04707546895736,450.05593864469586,529.1283418724369,648.9959862110057,790.759108617836,899.0009878202451,1048.9881877394525,1198.9871136552092,1718.9895512602018
150.01208240674592,190.0766033113649,220.00875598329003,250.43610074437927,298.9164375763814,348.75403615019314,398.7474132439166,449.74311936879064,529.0245434362473,649.0038407487647,790.7549371203689,898.9772175461804,1048.9722437237397,1199.002784498391,1719.000617421848
150.03505918015279,190.09942049627668,220.07647509823198,250.2036480029112,299.0020415665325,349.0008848673191,398.9962918104716,449.99279001976277,529.0435651617918,648.9946047868011,790.7611712602152,899.0026183014539,1048.9905327826812,1198.9897642830567,1718.9937027940377
150.30129730465168,190.35982027737236,220.31007753561198,250.5334320335985,299.0648805625892,349.00221676184464,398.995593855568,449.9961756879875,529.0496699152482,649.0016346032182,790.7688850541374,899.0131591624337,1048.9950791438278,1198.9911094464692,1719.0051147709078
150.00503595692703,190.06920120642857,220.02170572540652,250.30310156933905,299.01571181268804,349.0076888677706,399.00106596149396,449.99539129829276,529.0488855255535,649.0008502135236,790.7681006644427,899.012374772739,1048.9984611955242,1198.9981740348771,1719.0133573267726
149.95673442519532,190.0154534645384,219.95934095656918,250.34247843194242,298.9724923994297,348.99300854141967,398.98841548457216,449.98315996192156,529.0339351039498,648.9818679325757,790.7471268595305,898.9908024582619,1048.9768888810474,1198.9744617715064,1718.9798968228347
149.9972273597154,190.06251329961378,219.98916172608668,250.32597585076513,298.98308241418135,348.98609136073486,398.97946845445824,449.96709390189426,529.0440641355265,648.9974450648069,790.7709076692763,899.0101860299517,1048.996272452737,1198.9954282911679,1718.9949586949122
149.994935941397,190.05078838872348,219.9986549080908,250.21713079708843,298.99690788468536,349.00125610541755,398.99666304857004,449.9972448809895,529.0507391082501,649.0027037962202,790.767962723175,899.0134511423466,1048.9995375651322,1198.9971104555912,1718.9976097562678
149.98012892119198,190.03884796053507,220.01365530175198,250.09755626458994,298.965735785197,348.9422339074488,398.9949462019741,449.99243858124424,529.04651738021,648.9975570052194,790.7539695962562,898.9964308841123,1048.9836308033193,1198.982862303695,1718.9860465028573
150.00772190793575,190.0738692190271,220.02088170588993,250.461132479399,299.0135236904403,349.01898793489096,399.01236502861434,450.00035336150296,529.055560648874,649.0061776554456,790.7738893659861,899.0131677266614,1048.999254149447,1198.996548916875,1718.995723521767
149.99759846483033,190.05810349914083,220.00295948543436,249.9975987083941,299.00310160207084,349.0068167190612,399.0022236622137,449.9969681395631,529.050462366824,648.9983951954499,790.7656456463691,899.0081069342251,1048.9941933570108,1198.9918844191916,1718.9976817155925
149.9069632817592,189.973095209657,219.95014981161228,250.2639862251121,298.945930364389,348.99460710739146,398.99001405054395,449.99147558930025,529.0455543882654,648.9965940132747,790.7623172618387,899.0059928605701,1048.9931927797777,1198.9921186955344,1718.9954442379865
149.99649885628233,190.0626307841802,220.00763981255142,250.19588613876073,299.0001232907369,349.00207144678706,398.99747838993954,449.99397659923073,529.0474708264916,648.9954036551175,790.7628744526894,899.0053357405454,1048.9914221633308,1198.9902553838829,1718.9945589932488
149.99467366496478,190.06223195228824,219.98756223627728,250.32527446447295,298.9823810278892,348.9853899744427,398.97876706816606,449.9663925156021,529.0433627492343,648.9967436785148,790.7702062829842,899.0094846436596,1048.9955710664447,1198.9947269048755,1718.998375974104
150.00503595692703,190.06920120642857,220.02170572540652,250.30310156933905,299.01571181268804,349.0076888677706,399.00106596149396,449.99539129829276,529.0488855255535,649.0008502135236,790.7681006644427,899.012374772739,1048.9984611955242,1198.9981740348771,1719.0133573267726
149.9977694513363,190.06391676242765,220.00878760509798,250.1914873110745,299.00464894293253,349.0065970989827,399.0020040421352,449.99754362178663,529.0527509091576,649.0033679157292,790.7710158399464,899.0092799540045,1048.9960809388103,1198.9936538292693,1718.9977072973345
149.96404760621215,190.01976575000964,219.9945730912266,250.1983908996486,298.962573347651,349.00059846373136,398.99397555745475,449.9966050803417,529.0473802223704,649.002451706724,790.7697021576431,899.0121634454991,1048.9993633647061,1198.997616929051,1719.0137960453396
149.96156987512416,190.02609077974313,219.96182242142874,250.3869137000532,299.00064379769344,348.9906019761785,398.98397906990186,449.97772307279035,529.044143586796,649.0007615361761,790.7509535836225,898.973234009434,1048.968260186993,1199.0006422977317,1719.0030762641707
150.0025187458361,190.06808726018747,220.01393001990363,250.4541807934127,299.0065720044539,349.0105390371016,399.00594598025407,450.00069045760347,529.054184684864,649.0021175134899,790.7673764404447,899.0110520391761,1048.9971384619619,1198.9947113524208,1718.9950420922978
149.96639003356364,190.0449001920755,219.98853034675844,250.3262425749541,298.98334913837033,348.98635808492384,398.9797351786472,449.96736062608323,529.0443308597155,648.997711788996,790.7702062829842,899.0094846436596,1048.9955710664447,1198.9947269048755,1718.998375974104
150.33146720494926,190.39034583278738,220.36367807360077,250.7444911173843,299.14442828958596,349.0694714466211,399.06311532129456,450.0420207088721,529.0972279962431,649.0214342288508,790.7661658404655,898.988446266277,1048.983472443836,1199.0121934833235,1719.00413130671
150.00051625562156,190.0646815051231,220.01718602410105,250.29858186803358,299.0009179457598,349.00700515568906,399.00038224941244,449.99470758621123,529.0482018134721,649.0001665014422,790.7674169523614,899.0116910606577,1048.9977774834426,1198.9974903227956,1719.012673614691
