year,market,price_mean,price_median,price_std,price_count,RAM_mean,Battery Capacity_mean,Screen Size_mean
2014,Global,169.0,169.0,42.42640687119285,2,1.5,2150.0,5.25
2016,Global,211.0,179.0,119.45710527214361,5,3.4,3920.0,6.959999999999999
2017,Global,505.6666666666667,299.0,351.6745654721137,9,4.444444444444445,2617.6666666666665,5.687777777777778
2018,Global,630.9047619047619,599.0,437.1111877728486,21,4.380952380952381,1766.142857142857,6.160952380952381
2019,Global,609.4347826086956,489.0,353.068809923877,46,6.282608695652174,1994.9782608695652,6.39195652173913
2020,Global,585.3265306122449,474.0,407.82649371956194,98,6.438775510204081,1485.3469387755101,7.395510204081632
2021,European,179.0,179.0,14.142135623730951,2,4.0,5.0,6.52
2021,Global,529.5148514851485,399.0,396.5276185554138,101,7.03960396039604,1401.4950495049504,6.769009900990099
2022,European,10054.75,214.0,19711.521983770475,4,5.0,2053.75,7.495
2022,Global,603.5492957746479,499.0,424.4772099983828,142,7.661971830985915,1742.7957746478874,7.0521830985915495
2023,European,157.0,139.0,42.66145801540308,5,3.2,5.0,6.5200000000000005
2023,Global,613.9774011299435,449.0,419.70028476502597,177,8.231638418079097,2538.3785310734465,7.299322033898306
2024,Global,615.2943642611684,449.0,454.35450039231426,291,9.096219931271477,1326.5979381443299,7.25807560137457
2025,Global,428.6666666666667,350.0,167.21914490943445,12,9.0,2836.0,6.696666666666666
